canonical_smiles,pIC50
CCOc1cccc2c1OCC(C(=O)NS(=O)(=O)c1ccc(Cl)cc1)=C2,4.0
CC(C)OCCCNC(=O)c1ccc(-c2ccco2)[nH]c1=O,4.0
Cc1cnn(CC2CN(Cc3nnc(-c4occc4C)o3)CCO2)c1,4.0
CCOCC(O)CN1CCN(C(=O)C2CC2)CC1,4.0
CC(C)c1nc2n(n1)CC(NCc1nnc(C(C)C)o1)CC2,4.0
COc1cc(C(=O)N2CCCC(CNS(C)(=O)=O)C2)cc(OC)c1C,4.0
Cc1ccnc(NC(=O)c2[nH]nc(C(C)C)c2Br)c1,4.0
CC(C)c1n[nH]c(C(=O)NC(C)c2ccncc2)c1Br,4.0
CC(C)c1n[nH]c(C(=O)Nc2ccccn2)c1Br,4.0
Cc1cccc(NC(=O)c2[nH]nc(C(C)C)c2Br)n1,4.0
Cc1cnn(CC2CN(Cc3nnc(C4CC4)o3)CCO2)c1,4.0
CNC(=O)c1cccc(NC(=O)Cn2nc(-c3cccs3)oc2=O)c1,4.0
O=C(CN1CC(n2cccn2)C1)NCCc1c[nH]c2ccccc12,4.0
CC1COCCN1Cc1nc(-c2cccs2)no1,4.0
CC(C)c1n[nH]c(C(=O)Nc2ccncc2)c1Br,4.374098769202441
COc1cc(CNC2CCCc3c2cnn3C)cc(OC)c1,4.0
Cc1ccc(C(=O)Nc2cc(C(C)C)n[nH]2)cn1,4.951074061014379
Cc1cccc(-c2nc(CN3CCc4cnc(C)nc4C3)no2)c1,4.0
CC(C)c1cc(NC(=O)c2ccncc2)[nH]n1,4.474226837538422
CC(C)c1cc(NC(=O)c2cccnc2)[nH]n1,4.473043584205375
Cc1ccc(CC(=O)Nc2cc(C(C)C)n[nH]2)cn1,4.0
O=C(NCCNc1ccc(C(F)(F)F)cn1)c1cncc(Br)c1,4.385438332259947
Cc1nc(C)n(CC2CCCN(c3ncnc4[nH]ccc34)C2)n1,4.525347620177834
COc1cc(/C=C/c2ncc(C(=O)O)s2)cc(Cl)c1O,4.507083516446103
CN1CCCc2cc(CNC(=O)c3ccc(NC4CC4)nc3)ccc21,4.149518509439639
COc1ccc(CC2CCN(C(=O)c3ccc(C(=O)NC4CCN(Cc5ccc(C#N)cc5)CC4)nc3)CC2)cc1,8.154901959985743
N#Cc1ccc(CC2CCN(C(=O)c3ccc(C(=O)NC4CCN(Cc5ccc(C#N)cc5)CC4)nc3)CC2)cc1,7.481486060122112
N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(Oc5ccc(C#N)cc5)CC4)cn3)CC2)cc1,6.903089986991944
N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(Oc5ccc(C#N)cc5)CC4)nc3)CC2)cc1,6.3223930472795065
N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(Oc5ccc(F)cc5F)CC4)cn3)CC2)cc1,7.657577319177793
N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(Oc5ccc(F)cc5F)CC4)nc3)CC2)cc1,6.282329496997738
N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(C(=O)c5ccc(F)cc5)CC4)cn3)CC2)cc1,7.67778070526608
N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(C(=O)c5ccc(C#N)cc5)CC4)cn3)CC2)cc1,6.100179497572904
COc1ccc(OC2CCN(C(=O)c3ccc(C(=O)NC4CCN(Cc5ccc(C#N)cc5)CC4)nc3)CC2)cc1,7.221848749616356
COc1ccc(C(=O)C2CCN(C(=O)c3ccc(C(=O)NC4CCN(Cc5ccc(C#N)cc5)CC4)cn3)CC2)cc1,8.549750891680638
N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(C(=O)c5ccc(F)cc5F)CC4)cn3)CC2)cc1,8.096910013008056
N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(C(O)c5ccc(F)cc5)CC4)cn3)CC2)cc1,6.208309350979882
N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(F)(C(=O)c5ccc(F)cc5)CC4)cn3)CC2)cc1,7.795880017344075
N#Cc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(C(F)c5ccc(F)cc5)CC4)cn3)CC2)cc1,9.0
COc1ccc(C(=O)C2CCN(C(=O)c3ccc(C(=O)NC4CCN(Cc5ccc(OC(F)(F)F)cc5)CC4)cn3)CC2)cc1,6.086186147616283
O=C(NC1CCN(Cc2ccc(F)cc2)CC1)c1ccc(C(=O)N2CCC(C(=O)c3ccc(N4CCCC4)cc3)CC2)nc1,6.136677139879544
COc1ccc(CN2CCC(NC(=O)c3ccc(C(=O)N4CCC(C(=O)c5ccc(N6CCCC6)cc5)CC4)nc3)CC2)cc1,6.698970004336019
O=C(NC1CCN(Cc2ccc(F)cc2)CC1)c1ccc(C(=O)N2CCC(C(=O)c3ccc(-n4cccn4)cc3)CC2)nc1,6.050609993355087
CSc1ccccc1Nc1nc(N2CCN(C3CCNCC3)CC2)nc2c(NCC3CC3)ncnc12,5.0
CN1C/C(=C\c2ccccn2)C(=O)[C@@H](Cc2ccccn2)C1,5.0
CN1C/C(=C\c2ccccn2)C(=O)[C@H](Cc2ccccn2)C1,5.0
O=C1/C(=C/c2ccccn2)CSC/C1=C\c1ccccn1,4.585026652029182
O=C1/C(=C/c2ccccc2F)CNC/C1=C\c1ccccc1F,4.337242168318426
CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,7.008773924307505
CNc1nc(Nc2cnc(C#N)c(O[C@@H]3CCCNC3)c2)ncc1-c1cnn(C)c1,6.968591535748375
COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,6.993020809425723
O=C(NCC(F)(F)F)c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)cs1,8.0
Cn1cc(-c2cnc3c(-c4csc(C(=O)NCC(F)(F)F)c4)cnn3c2)cn1,7.585026652029182
Cn1cc(-c2cnc3c(-c4csc(C(=O)N[C@@H]5CCCC[C@@H]5N)c4)cnn3c2)cn1,8.337242168318426
Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12,7.275724130399211
C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C,4.0
